Time,New Queue,Ready Queue,CPU Core 0,CPU Core 1,CPU Core 2,CPU Core 3,CPU Core 4,CPU Core 5,CPU Core 6,CPU Core 7,Blocked Queue,IO,Exit Queue
0,B C D ,,A,,,,,,,,,,
1,B C D ,,A,,,,,,,,,,
2,C D ,,A,B,,,,,,,,,
3,D ,,A,B,C,,,,,,,,
4,D ,,,B,C,,,,,,,A,
5,D ,,,B,,,,,,,C ,A,
6,D ,,,B,,,,,,,C ,A,
7,,,D,B,,,,,,,C ,A,
8,,,,B,A,,,,,,D ,C,
9,,,C,B,A,,,,,,,D,
10,,,C,,A,D,,,,,,B,
11,,,,B,A,,,,,,,D,C 
12,,,D,B,,,,,,,,A,C 
13,,,,B,,,,,,,,A,C D 
14,,,,B,,,,,,,,A,C D 
15,,,,B,,,,,,,,A,C D 
16,,,A,B,,,,,,,,,C D 
17,,,A,B,,,,,,,,,C D 
18,,,A,B,,,,,,,,,C D 
19,,,A,,,,,,,,,,C D B 
